S#,Date,Islamic Date,Blast Day Type,Blast Day Type clean,Holiday Type,Holiday Type clean,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Category helper,Location Sensitivity,Location Sensitivity helper,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Hour of Attack,AM / PM
252,Saturday-March 13-2010,27 Raby` al-awal 1431 A.H,Working Day,Working Day,,,9:15:00 AM,Swat,35.2227,72.4258,KPK,District court Checkpost,Police,POLICE,High,HIGH,Open,,Police,None,14,17,52,60,1,14 kg,1. Judical Complex ,16.365,61.457,2010,9,AM
253,Monday-March 29-2010,13 Raby` al-THaany 1431 A.H.,Working Day,Working Day,,,,Tank,32.226,70.3761,KPK,office of Pro-govt tribal leader-Misbahhuddin mehsud,Government/Office Building,GOVERNMENT/OFFICE BUILDING,Medium,MEDIUM,Closed,,Anti-Militants,Sunni,,2,,2,1,NA,,16.64,61.952,2010,,
254,Monday-March 29-2010,13 Raby` al-THaany 1431 A.H.,Working Day,Working Day,,,,Bajaur Agency,34.8718,71.5249,FATA,Lagharai area in Bajaur,Mobile,MOBILE,Low,LOW,Open,Leader of anti-militants lashkar,Anti-Militants,Sunni,,2,5,8,1,NA,Agency headquarter hospital in Khar,19.45,67.01,2010,,
255,Monday-April 5-2010,20 Raby` al-THaany 1431 A.H.,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,U.S. consulate peshwar,Foreign,FOREIGN,High,HIGH,Open,,foreigner,Christian,6,8,,0,1,NA,,23.135,73.643,2010,,
256,Monday-April 5-2010,20 Raby` al-THaany 1431 A.H.,Working Day,Working Day,,,12:00 noon,Lower Dir,34.8453,71.9046,KPK,ANP rally in Timergara ,Hotel,HOTEL,Medium,MEDIUM,Open,,Government Official,None,50,56,75,120,3,NA,1.Lady Reading Hospital 2.Khaber Teaching Hospital,21.1,69.98,2010,12,
257,Friday-April 16-2010,2 Jumaada al-awal 1431 A.H,Working Day,Working Day,,,,Quetta,30.2095,67.0182,Baluchistan,Quetta civil Hospital ,Hospital,HOSPITAL,Low,LOW,Closed,,Government Official,Shiite,,11,35,40,1,15 kg,1.Civil Hospital 2.Bolan Medical Complex 3. CMH,25.14,77.252,2010,,
258,Saturday-April 17-2010,3 Jumaada al-awal 1431 A.H,Working Day,Working Day,,,12:00:00 PM/11:55 AM,Kohat,33.5833,71.4333,KPK,IDP camp-kacha Pakha area on Hangu Road Kohat,Park/Ground,PARK/GROUND,Low,LOW,Open,,Civilian,None,41,44,60,70,2,12 Kg,1.District Headquarter Hospital  2.Liaqat Hospital,28.745,83.741,2010,12,AM
259,Sunday-April 18-2010,4 Jumaada al-awal 1431 A.H,Holiday,Holiday,Weekend,Weekend,7:15:00 AM,Kohat,33.5833,71.4333,KPK,Kohat Police Station,Police,POLICE,High,HIGH,Closed,,Police,None,,7,30,32,1,250 kg,District Headquarter Hospital,26.62,79.916,2010,7,AM
260,Monday-April 19-2010,5 Jumaada al-awal 1431 A.H,Working Day,Working Day,,,12:30:00 PM,Peshawar,34.0043,71.5448,KPK,Protest demonstration Qissa Khawani Bazaar,Park/Ground,PARK/GROUND,Low,LOW,Open,Jamit-i-Islam members,Anti-Militants,Sunni,23,24,27,49,1,8 kg,Lady Reading Hospital,25.96,78.728,2010,12,PM
261,Wednesday-April 28-2010,14 Jumaada al-awal 1431 A.H,Working Day,Working Day,,,4:05:00 AM,Peshawar,34.0043,71.5448,KPK,Pir Bala Police Check post ,Police,POLICE,High,HIGH,Open,,Police,None,4,5,11,14,1,300 kg,Lady Reading Hospital,26.47,79.646,2010,4,AM
262,Saturday-May 1-2010,17 Jumaada al-awal 1431 A.H,Holiday,Holiday,Labour Day,Public Holiday,NA,Swat,35.2227,72.4258,KPK,Sohrab Khan Market town Mingora ,Market,MARKET,Low,LOW,Open,,Civilian,None,3,7,9,16,1,15 kg,NA,23.315,73.967,2010,,
263,Sunday-May 2-2010,18 Jumaada al-awal 1431 A.H,Holiday,Holiday,Weekend,Weekend,NA,Bajaur Agency,34.8718,71.5249,FATA,Bilalabad area near Khar town,Military,MILITARY,High,HIGH,Open,,Military,None,,0,,0,1,NA,NA,27.025,80.645,2010,,
264,Friday-May 28-2010,14 Jumaada al-THaany 1431 A.H,Working Day,Working Day,,,NA,Lahore ,31.5451,74.3407,Punjab,Model Town and garhi shahu  lahore ,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Civilian,Ahmedi,80,95,92,200,1,NA,NA,31.495,88.691,2010,,
265,Thursday-July 1-2010,19 Rajab 1431 A.H,Working Day,Working Day,,,10:46:00 PM/11:00 PM,Lahore ,31.5451,74.3407,Punjab,Data Darbar-Lahore,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Civilian,None,40,42,,175,2,20 kg ,"1. Mayo Hospital
2. Sir Ganga Ram Hospital 
3. Services Hospital ",32.37,90.266,2010,10,PM
266,Friday-July 9-2010,27 Rajab 1431 A.H,Working Day,Working Day,,,NA,Mohmand Agency ,32.9746,70.1456,FATA,"Yakka Ghund Tehsil
of Mohmand Agency",Park/Ground,PARK/GROUND,Low,LOW,Open,,Government Official,None,65,80,104,110,2,NA,Lady Reading Hospital Peshwar,26.725,80.105,2010,,
267,Monday-July 12-2010,30 Rajab 1431 A.H,Working Day,Working Day,,,NA,Kohat,33.5833,71.4333,KPK,outside the guest house of a pro-Government tribal elder-Malik Swab Khan-in Kohat District,Government,GOVERNMENT,Low,LOW,Open,,Government Official,None,,0,,0,1,NA,NA,32.205,89.969,2010,,
268,Sunday-July 18-2010,6 SHa`baan 1431 A.H,Holiday,Holiday,Weekend,Weekend,NA,Sargodha,32.0791,72.6718,Punjab,Dar-ul-uloom muhamdia imambargh,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Shiite,3,4,9,26,1,NA,NA,34.805,94.649,2010,,
269,Monday-July 26-2010,14 SHa`baan 1431 A.H,Working Day,Working Day,,,NA,Nowshehra,34.0322,73.0944,KPK,"Nowshera near
Provincial Info Ministr house ",Residence,RESIDENCE,Medium,MEDIUM,Closed,,Government Official,Sunni,,8,23,25,1,10 kg,Lady Reading Hospital Peshwar,31.52,88.736,2010,,
270,Wednesday-August 4-2010,23 SHa`baan 1431 A.H,Working Day,Working Day,,,around 4:30 PM,Peshawar,34.0043,71.5448,KPK,FC chowk near Dean's trade center,Mobile,MOBILE,High,HIGH,Open,NA,Military,None,3,4,11,14,1,10Kg,NA,28.59,83.462,2010,,PM
271,Monday-August 23-2010,13 RamaDHaan 1431 A.H.,Working Day,Working Day,,,,South waziristan,32.3202,69.8597,FATA,Wana-mosque,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Pro-Government cleric,Anti-Militants,Sunni,26,30,,40,1,20Kg,NA,25.23,77.414,2010,,
272,Wednesday-September 1-2010,23 RamaDHaan 1431 A.H,Working Day,Working Day,,,6:55pm/7:00pm/7:10pm,Lahore ,31.5451,74.3407,Punjab,1)First blast lower mal gate 2)Ghaznavi street urdu bazar 3) Bhati Chowk ,Park/Ground,PARK/GROUND,Low,LOW,Open,Yaum-e-Ali,Religious,Shiite,27,43,150,243,3,NA,1)Mayo Hospital 2)Sir ganga Ram Hospital  ,31.97,89.546,2010,6,PM
273,Friday-September 3-2010,24 RamaDHaan 1431 A.H.,Working Day,Working Day,,,NA,Quetta,30.2095,67.0182,Baluchistan,Mizan chowk Quetta,Park/Ground,PARK/GROUND,Low,LOW,Open,Al-Quds Rally organized by Imamia stdents organization,Civilian,None,54,62,150,200,1,15Kg,1.Combined Miltry Hospital                2.Civil Hospital ,26.745,80.141,2010,,
274,Friday-September 3-2010,24 RamaDHaan 1431 A.H.,Working Day,Working Day,,,NA,Mardan,34.1982,72.0444,KPK,worship place of the Ahmedis in Muslimabad area ,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,None,,1,,4,1,NA,NA,27.875,82.175,2010,,
275,Monday-September 6-2010,27 RamaDHaan 1431 A.H,Holiday,Holiday,Defence Day,Public Holiday,7:05:00 AM,lakki marwat,32.6018,70.9148,KPK,lakki marwat Police Station,Police,POLICE,High,HIGH,Closed,,Police,None,15,19,34,57,1,600 kg,1.Civil Hospital      2.DHQ Hospital,26.635,79.943,2010,7,AM
276,Thursday-September 9-2010,30 RamaDHaan 1431 A.H,Working Day,Working Day,,,12:30:00 PM,Quetta,30.2095,67.0182,Baluchistan,"Raily Housing Society
Near Finance Minnister
House Quetta",Residence,RESIDENCE,Medium,MEDIUM,Open,,Government Official,None,2,5,3,6,1,15 kg,NA,25.8,78.44,2010,12,PM
277,Thursday-October 7-2010,28 SHawwal 1431 A.H,Working Day,Working Day,,,6:45:00 PM,Karachi,24.9918,66.9911,Sindh,Shrine of Abdullah shah ghazi in Clifton,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Attendess at shrine,Religious,Sunni,6,10,60,77,2, 6 kg,"1. JPMC
2. Civil Hospital KHI",30.45,86.81,2010,6,PM
278,Monday-October 18-2010,10 Thw al-Qi`dah 1431 A.H,Working Day,Working Day,,,NA,Lakki marwat,32.6018,70.9148,KPK,jabukhel village,Park/Ground,PARK/GROUND,Low,LOW,Open,police tried to stop the car but the driver exploded the car in residential area,civilian,None,,,5,14,1,1200Kg,,20.785,69.413,2010,,
279,Monday-November 1-2010,24 Thw al-Qi`dah 1431 A.H,Working Day,Working Day,,,8:45:00 AM,Swabi ,34.1335,72.4702,KPK,District Shahmanoor Police Lines Swabi,Police,POLICE,High,HIGH,Open,,Police,None,2,5,10,13,1,12 kg ,1.Judicial Complex ,18.87,65.966,2010,8,AM
280,Friday-November 5-2010,28 Thw al-Qi`dah 1431 A.H,Working Day,Working Day,,,1:30:00 PM,Dara Adam khel,33.6854,71.5131,KPK,Dara Adam Khel Corwded Mosque ,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Sunni,61,76,70,132,1,15Kg,1.District Headqurters Hospital 2.Lady reading hospital ,20.1,68.18,2010,1,PM
281,Thursday-November 11-2010,5 Thw al-Hijjah 1431 A.H,Working Day,Working Day,,,8:10:00 PM,Karachi ,24.9918,66.9911,Sindh,Crime Investigation Department,Military,MILITARY,High,HIGH,Closed,,Military,None,16,20,100,140,1,1000 Kg ,NA,28.175,82.715,2010,8,PM
282,Thursday-November 11-2010,5 Thw al-Hijjah 1431 A.H,Working Day,Working Day,,,NA,Poonch,33.8243,73.7949,AJK,Rawalacot Security force vehicle,Mobile,MOBILE,Low,LOW,open,,Military,,,0,,2,1,NA,1.Zahid hospital ,18.315,64.967,2010,,
283,Sunday-November 14-2010,8 Thw al-Hijjah 1431 A.H,Holiday,Holiday,Weekend,Weekend,NA,South waziristan,32.3202,69.8597,FATA,Shakai village ,Market,MARKET,Low,LOW,Open,,Anti-Militants,Sunni,,1,,8,1,NA,Wana hospital,7.985,46.373,2010,,
284,Tuesday-November 30-2010,24 Thw al-Hijjah 1431 A.H,Working Day,Working Day,,,8:45:00 AM,Bannu,32.935,70.6688,KPK,near furniture market-Banu,Mobile,MOBILE,High,HIGH,Open,police van crossing the chowk,Police,None,2,6,6,22,1, 12 kg,NA,9.975,49.955,2010,8,AM
285,Monday-December 6-2010,30 Thw al-Hijjah 1431 A.H,Working Day,Working Day,,,2:00:00 PM,Mohmand Agency ,32.9746,70.1456,Fata,"Mohmad Agency-Ghalani area-Political 
Agent office ",Government,GOVERNMENT,High,HIGH,Closed,,Government Official,None,40,50,60,100,2,NA,"1.Tehsil Headquarters Ghalani 
2.Lady Reading ",5.08,41.144,2010,2,PM
286,Tuesday-December 7-2010,1 MuHarram 1432 A.H,Working Day,Working Day,,,NA,Quetta,30.2095,67.0182,Baluchistan,railway level crossing sryab pattak,Transport,TRANSPORT,Low,LOW,Open,Minister Balochistan,Government Official,None,,,10,12,1,NA,CMH ,4.51,40.118,2010,,
287,Wednesday-December 8-2010,2 MuHarram 1432 A.H,Working Day,Working Day,,,1:00:00 PM,Kohat,33.5833,71.4333,KPK,Kohat Bus stand,Transport,TRANSPORT,Low,LOW,Open,,Civilian,None,18,20,,32,1,10 kg,NA,12.205,53.969,2010,1,PM
288,Friday-December 10-2010,4 MuHarram 1432 A.H,Working Day,Working Day,,,4:00:00 PM,Hangu,33.5351,71.0713,KPK,Pass Killay area-under construction Private Hospital,Hospital,HOSPITAL,Low,LOW,Closed,,civilian,None,10,17,16,30,1,400 KG,Hospitals in Kohat Division,10.385,50.693,2010,4,PM
289,Thursday-December 23-2010,17 MuHarram 1432 A.H,Working Day,Working Day,,,NA,Islamabad,33.718,73.0718,Capital,Entrance to imambargah,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,religious,Sunni,,1,,2,1,NA,NA,11.73,53.114,2010,,
290,Friday-December 24-2010,18 MuHarram 1432 A.H,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,Mall road peshawar,Police,POLICE,High,HIGH,Open,Police was not sure about the bmbers target,Civilian,None,,4,,24,1,10 kg ,lady Reading Hospital-CMH,10.845,51.521,2010,,
291,Saturday-December 25-2010,19 MuHarram 1432 A.H,Holiday,Holiday,Christmas/ birthday of Quaid-e-Azam,Public Holiday,NA,Bajaur Agency,34.8718,71.5249,FATA,WFP office Khar,Foreign,FOREIGN,High,HIGH,Closed,target was police checkpost,Police,None,42,47,80,105,1,NA,NA,9.705,49.469,2010,,
292,Monday-December 27-2010,21 MuHarram 1432 A.H,Working Day,Working Day,,,Evening,Muzaffarabad,34.3597,73.4711,AJK,Procession from Neelam Valley,Park/Ground,PARK/GROUND,Medium,MEDIUM,Open,,religious,Shiite,,7,,65,1,NA,NA,9.24,48.632,2010,,
293,Wednesday-January 12-2011,8 safar 1432 A.H,Working Day,Working Day,,,Evening,Bannu,32.935,70.6688,KPK,Bannu Police Station,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,civilian,Sunni,18,20,15,20,1,1000 kg,Bannu's Main hospital,7.775,45.995,2011,,
294,Tuesday-January 25-2011,21 safar 1432 A.H,Working Day,Working Day,,,Evening,Lahore,31.5451,74.3407,Punjab,Urdu Bazar intersection on circular road,Police,POLICE,High,HIGH,Open,Hazrat Imam Hussain Chehlum Procession,Religious,Shiite,11,17,71,80,1,5Kg,Mayo Hospital-ganagaram hospital,14.165,57.497,2011,,
295,Thursday-January 27-2011,23 safar 1432 A.H,Working Day,Working Day,,,,Bajaur Agency,34.8718,71.5249,FATA,Sarameena area of Khar tehsil in the Bajaur Agency,Military,MILITARY,High,HIGH,Open,,Military,None,,0,,0,1,NA,NA,10.395,50.711,2011,,
296,Monday-January 31-2011,27 safar 1432 A.H,Working Day,Working Day,,,Morning,Peshawar,34.0043,71.5448,KPK,Kohat road Garhi Kamruddin over head bridge,Mobile,MOBILE,High,HIGH,Open,Police car,Police,None,5,7,14,16,1,7Kg,NA,14.355,57.839,2011,,
297,Thursday-February 10-2011,7 Raby` al-awal 1432 A.H,Working Day,Working Day,,,8:00 AM/8:15:00 AM,Mardan,34.1982,72.0444,KPK,Punjab Regiment Center,Military,MILITARY,High,HIGH,Open,,Military,None,28,36,35,50,1,9Kg,CMH Mardan-CMH rawalpindi,11.06,51.908,2011,8,AM
298,Friday-February 11-2011,8 Raby` al-awal 1432 A.H,Working Day,Working Day,,,,Mohmand Agency ,32.9746,70.1456,Fata,Dabo Dheri checkpost in Prang Ghar ,Police,POLICE,High,HIGH,Open,,Police,None,,1,,3,1,NA,NA,1.445,34.601,2011,,
299,Saturday-February 12-2011,9 Raby` al-awal 1432 A.H,Working Day,Working Day,,,Saturday Morning,Malakand ,34.503,71.9046,KPK,Batakhel area,Residence,RESIDENCE,Low,LOW,Closed,security forces were trying to arest the bomber,Military,None,1,3,,,1,NA,NA,8.305,46.949,2011,,
300,Saturday-February 19-2011,16 Raby` al-awal 1432 A.H,Working Day,Working Day,,,,Bannu,32.935,70.6688,KPK,police station in bannu,Police,POLICE,High,HIGH,Open,,Police,None,,,,4,1,NA,NA,5.45,41.81,2011,,
301,Tuesday-March 1-2011,26 Raby` al-awal 1432 A.H,Working Day,Working Day,,,Night,Karachi,24.9918,66.9911,Sindh,near MDA flats along national highway-in Shah Latif Town,Park/Ground,PARK/GROUND,Low,LOW,Open,,civilian,None,,0,,0,1,,NA,23.53,74.354,2011,,
302,Thursday-March 3-2011,28 Raby` al-awal 1432 A.H,Working Day,Working Day,,,,Hangu,33.5351,71.0713,KPK,spin khawri chowk,Mobile,MOBILE,Low,LOW,Open,,Police,None,5,9,30,36,1,400Kg,NA,9.565,49.217,2011,,
303,Wednesday-March 9-2011,4 Raby` al-THaany 1432 A.H,Working Day,Working Day,,,,Peshawar,34.0043,71.5448,KPK,Adezai Village-sheikh Neka graveyard,Park/Ground,PARK/GROUND,Low,LOW,Open,,Anti-Militants,Sunni,37,43,,52,1,16Kg,Lady Reading Hospital,18.605,65.489,2011,,
304,Thursday-March 24-2011,19 Raby` al-THaany 1432 A.H,Working Day,Working Day,,,8:00:00 AM,Hangu,33.5351,71.0713,KPK,Rescue 15 Building adjecent to police station in Thall,Police,POLICE,High,HIGH,Open,,Police,None,5,8,25,30,1,250kg,CMH Thall,22.185,71.933,2011,8,AM
305,Wednesday-March 30-2011,25 Raby` al-THaany 1432 A.H,Working Day,Working Day,,,10:45 AM/ 11:00 AM,Swabi ,34.1335,72.4702,KPK,Peshawar- Islamabad Motorway-Swabi Interchange,Police,POLICE,High,HIGH,Open,,Government Official,None,10,13,12,23,1,8Kg,Shahmansoor Hospital Complex/Swabi District Hospital/khunda Civil Hospital and  LRH Peshawar,20.12,68.216,2011,10,AM
306,Thursday-March 31-2011,26 Raby` al-THaany 1432 A.H,Working Day,Working Day,,,12:45:00 PM,Charsadda,34.1509,71.7359,KPK,Near DCO office-Nowshehra road,Park/Ground,PARK/GROUND,Low,LOW,Open,,Government Official,None,,12,20,42,1,,Lady reading hospital,19.405,66.929,2011,12,PM
307,Friday-April 1-2011,27 Raby` al-THaany 1432 A.H,Working Day,Working Day,,,,Dara Adam khel,33.6854,71.5131,KPK,near a mosque in Dara adam khel bazar-khalid market,Market,MARKET,Low,LOW,Open,peace committee members were present in mosque,Anti-Militants,Sunni,,1,2,8,1,8kg,,18.315,64.967,2011,,
308,Sunday-April 3-2011,29 Raby` al-THaany 1432 A.H,Holiday,Holiday,Weekend,Weekend,around 5pm and second attack after 15min/5:16:00 PM and second attack after 25 min,D.G Khan ,30.05,70.6333,KPK,sakhi arwar shrine-40 km away from D.G Khan,Religious,RELIGIOUS,Medium,MEDIUM,Open,Urs ceremony,Religious,Sunni,42,50,100,114,2,,sakhi sarwar civil hospital-dera district headquarters hospital,23.035,73.463,2011,,
309,Monday-April 4-2011,30 Raby` al-THaany 1432 A.H,Working Day,Working Day,,,Monday After Noon,Lower Dir,34.8453,71.9046,KPK,Bargain Car market in Munda area of Lower Dir District,Market,MARKET,Low,LOW,Open,,Anti-Militants,Sunni,7,9,22,30,1,8Kg,Temargara Hospital,16.585,61.853,2011,,
310,Thursday-April 7-2011,3 Jumaada al-awal 1432 A.H,Working Day,Working Day,,,7:50:00 AM,Quetta,30.2095,67.0182,Baluchistan,Gulistan road-also known as police lines,Residence,RESIDENCE,Medium,MEDIUM,Open,,Police,None,,1,17,19,1,180kg,Civil hospital-CMH,20.76,69.368,2011,7,AM
311,Saturday-April 23-2011,19 Jumaada al-awal 1432 A.H,Working Day,Working Day,,,,Bajaur Agency,34.8718,71.5249,FATA,Salarzai area-65 km northeast of khar,Mobile,MOBILE,Low,LOW,Open,,Anti-Militants,Sunni,,5,5,8,1,,Agency headquarter hospital in Miranshah,26.34,79.412,2011,,
312,Friday-May 13-2011,,Working Day,Working Day,,,6:00:00 AM,Charsadda,34.1509,71.7359,KPK,FC headquarters in Shabqadar-30km from peshawar,Military,MILITARY,High,HIGH,Open,FC personnel were gathered there,Military,None,82,95,128,140,2,16-20kg,LRH ,29.285,84.713,2011,6,AM
313,Saturday-May 14-2011,,Working Day,Working Day,,,11:20:00 AM/ 11:00 AM,D.G Khan ,30.05,70.6333,KPK,MCB bank-Main bazar of Taunsa Sharif,Bank,BANK,Low,LOW,Open,,civilian,None,,3,,9,1,,,33.87,92.966,2011,11,AM
314,Wednesday-May 25-2011,,Working Day,Working Day,,,4:40:00 AM,Peshawar,34.0043,71.5448,KPK,CID station,Police,POLICE,High,HIGH,Closed,,Police,None,8,11,41,48,1,300kg,Lady reading hospital-khyber teaching complex-hayatabad medical complex,33.975,93.155,2011,4,AM
315,Thursday-May 26-2011,,Working Day,Working Day,,,6:00:00 PM,Hangu,33.5351,71.0713,KPK,checkpoint close to Hangu police station and hangu DPO office,Police,POLICE,High,HIGH,Open,,Police,None,28,32,55,60,1,450kg,hungu district headquarter hospital,27.53,81.554,2011,6,PM
316,Saturday-May 28-2011,,Working Day,Working Day,,,10:00:00 AM,Bajaur Agency,34.8718,71.5249,FATA,Bajaur Agency's salarzai village-near Afghan border,Market,MARKET,Low,LOW,Open,,Anti-Militants,Sunni,,8,,11,1,,khar agency headquarter hospital,30.06,86.108,2011,10,AM
317,Sunday-June 5-2011,,Holiday,Holiday,Weekend,Weekend,8:45:00 PM,Nowshehra,34.0322,73.0944,KPK,Army run Bakery on Mall road-Nowshehra cantt,Military,MILITARY,High,HIGH,Closed,,Military,None,18,19,28,45,1,8Kg,Lady reading hospital,32.48,90.464,2011,8,PM
318,Sunday-June 12-2011,,Holiday,Holiday,Weekend,Weekend,11:45:00 PM,Peshawar,34.0043,71.5448,KPK,Khyber super market-peshawar cantt,Market,MARKET,Low,LOW,Open,,Civilian,None,32,35,80,107,1,10 Kg,Lady reading hospital,31.05,87.89,2011,11,PM
319,Monday-June 13-2011,,Working Day,Working Day,,,3:00:00 PM,Islamabad,33.718,73.0718,Capital,silk bank in I-8 markaz,Bank,BANK,Low,LOW,Open,,Civilian,None,1,2,4,6,1,7kg,PIMS-Shifa International hospital,32.085,89.753,2011,3,PM
320,Saturday-June 25-2011,,Working Day,Working Day,,,,D.I Khan ,31.8238,70.9095,KPK,Kolache Town,Police,POLICE,High,HIGH,Closed,,Police,None,,10,3,5,1,,,32.925,91.265,2011,,
321,Monday-July 11-2011,,Working Day,Working Day,,,,Peshawar,34.0043,71.5448,KPK,Bazar in Central Battagram,Market,MARKET,Low,LOW,Open,,Government Official,None,,7,25,26,1,,Battagram District Headquarters hospital,31.545,88.781,2011,,
322,Thursday-July 21-2011,,Working Day,Working Day,,,,South waziristan,32.3202,69.8597,FATA,South waziristan,Mobile,MOBILE,Low,LOW,Open,,Foreigner,NA,,,,2,1,,Jandola hospital,24.3,75.74,2011,,
323,Sunday-July 24-2011,,Holiday,Holiday,Weekend,Weekend,,South waziristan,32.3202,69.8597,FATA,Security Checkpost in chak Malai Area,Military,MILITARY,High,HIGH,Open,,Military,NA,,1,,7,1,,,25.195,77.351,2011,,
324,Saturday-August 6-2011,,Working Day,Working Day,,,,Mohmand Agency ,32.9746,70.1456,Fata,Danish Kol Bazaar Pandyali,Market,MARKET,Low,LOW,Open,,Military,NA,,1,,0,1,,,24.745,76.541,2011,,
325,Thursday-August 11-2011,,Working Day,Working Day,,,,Peshawar,34.0043,71.5448,KPK,Check post near lahori gate,Police,POLICE,High,HIGH,Open,,Police,NA,0,2,,12,1,,,30.1,86.18,2011,,
326,Friday-August 19-2011,,Working Day,Working Day,,,Friday prayer time,Khyber Agency,34.0211,71.2874,KPK,Jamia Masjid Madina in Ghundi Area of Jamrud,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Civilian,NA,47,60,70,130,1,,Tehsil Headquarters hospital Jamrud-Hayatabad Medical complex-Khyber Teaching Hospital,30.6,87.08,2011,,
327,Wednesday-August 31-2011,5 SHawwal 1432 A.H.,Holiday,Holiday,Eid-ul-Fitar,Public Holiday,Wednesday Morning just after offering Eid prayers,Quetta,30.2095,67.0182,Baluchistan,near the Eidgah in Marriabad Major Muhammad Ali Shaheed Road.,Religious,RELIGIOUS,Medium,MEDIUM,Open,,religious,Shiite,11,13,12,25,1,60kg,city hospitals ,25.59,78.062,2011,,
328,Thursday-September 1-2011,6 SHawwal 1432 A.H.,Holiday,Holiday,Eid-ul-Fitar,Public Holiday,Thursday night ,Lakki marwat,32.6018,70.9148,KPK,near a police station in Darra Pezu Town,Police,POLICE,High,HIGH,Open,,Police,NA,3,2,14,25,1,300kg,NA,20.84,69.512,2011,,
329,Wednesday-September 7-2011,,Working Day,Working Day,,,,Quetta,30.2095,67.0182,Baluchistan,FC DIG's residence at Anscumb road ,Military,MILITARY,High,HIGH,Closed,,Military,NA,26,28,60,82,2,100kg,Civil hospital-CMH,28.465,83.237,2011,,
330,Thursday-September 15-2011,,Working Day,Working Day,,,After noon,Lower Dir,34.8453,71.9046,KPK,Jandola Town in Lower Dir-100 km from swat valley,Park/Ground,PARK/GROUND,Low,LOW,Open,,Civilian,NA,26,34,63,75,1,NA,,27.235,81.023,2011,,
331,Monday-September 19-2011,,Working Day,Working Day,,,7:30:00 AM,karachi,24.9918,66.9911,Sindh,Street 32-off Saba Avenue-DHA Phase VIII-house of CID SSP,Police,POLICE,High,HIGH,Open,,Police,NA,,8,4,7,1,300kg,,29.195,84.551,2011,7,AM
332,Friday-October 28-2011,,Working Day,Working Day,,,,Nowshehra,34.0322,73.0944,KPK,Risalpur area of the Nowshera district,Police,POLICE,,,,,Police,NA,,2,,,1,,,17.535,63.563,2011,,
333,Monday-November 7-2011,,Working Day,Working Day,,,,Swabi ,34.1335,72.4702,KPK,Malikabad area of Swabi,Government Official,GOVERNMENT OFFICIAL,,,,,Government Official,,,3,,9,,,,19.065,66.317,2011,,
334,Wednesday-November 16-2011,,Working Day,Working Day,,,,Karachi,24.9918,66.9911,Sindh,Sea view-clifton-at lover's point adjacent to village hotel,Mobile,MOBILE,low,LOW,Open,,Police,None,5,7,,1,1,NA,Jinnah Postgraduate Medical Center,25.305,77.549,2011,,
335,Friday-November 18-2011,,Working Day,Working Day,,,3:38AM,Karachi,24.9918,66.9911,Sindh,Block 13-near Pehlwan Goth roundabout-Gulistan-e-Jauhar,Residence,RESIDENCE,low,LOW,Closed,,Military,None,,1,,,1,NA,Jinnah Postgraduate Medical Center,27.245,81.041,2011,3,AM
336,Saturday-December 24-2011,,Working Day,Working Day,,,5:30 AM/5:40 AM,Bannu,32.935,70.6688,KPK,Tochi Scouts headquarters in Bannu,Military,MILITARY,High,HIGH,Open,,Military,None,4,6,18,19,1,500 kg,CMH Bannu,7.28,45.104,2011,5,AM
337,Tuesday-January 3-2012,,Working Day,Working Day,,,1:00:00 PM,Gujrat,32.5737,74.0786,Punjab,Gorali village-4 km from Gujrat,Park/Ground,PARK/GROUND,Low,LOW,Open,,Civilian,None,,2,,,1,NA,NA,10.935,51.683,2012,1,PM
338,Tuesday-January 3-2012,,Working Day,Working Day,,,2:00:00 PM,Peshawar,34.0043,71.5448,KPK,trade center on arbab road in university town,Market,MARKET,Low,LOW,Closed,,Civilian,None,,2,19,28,1,5-6kg,Khyber teaching Hospital,12.07,53.726,2012,2,PM
339,Tuesday-January 3-2012,,Working Day,Working Day,,,2:15:00 PM,Khyber Agency,34.0211,71.2874,FATA,landikotal town,Market,MARKET,Low,LOW,open,,Civilian,None,,3,7,9,1,NA,,11.285,52.313,2012,2,PM
340,Saturday-January 14-2012,,Working Day,Working Day,,,2:00:00 PM,D.I Khan,31.8238,70.9095,KPK,District police officer's office,Police,POLICE,High,HIGH,Open,,Police,None,4,8,7,10,3,NA,District Headquarters Hospital,6.71,44.078,2012,2,PM
